Medicine ID,Medical Condition,Specialty,Generic Name,Brand Name,Strength,Dosage Form,Route,Adult Dose,Pediatric Dose,Pregnancy Warning,Contraindications,Drug Interactions,Schedule,ICD10 Category
RX20016,Fungal Infection,Oncology,Clopidogrel,CLOPI-RX20016,50 mg,Injection,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20017,Schizophrenia,Ophthalmology,Quetiapine,QUETI-RX20017,2.5 mg,Injection,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20018,Acne,Internal Medicine,Paroxetine,PAROX-RX20018,20 mg,Syrup,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20019,Depression,Dermatology,Moxifloxacin Eye Drops,MOXIF-RX20019,20 mg,Drops,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20020,Hypertension,Psychiatry,Esomeprazole,ESOME-RX20020,50 mg,Cream,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20021,Anxiety,Pediatrics,Escitalopram,ESCIT-RX20021,50 mg,Cream,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20022,Fungal Infection,Gynecology,Sitagliptin,SITAG-RX20022,100 mg,Cream,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20023,Migraine,Diabetology,Nebivolol,NEBIV-RX20023,250 mg,Injection,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20024,Neuropathy,Orthopedics,Carbamazepine,CARBA-RX20024,500 mg,Drops,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20025,Anxiety,Ophthalmology,Glimepiride,GLIME-RX20025,250 mg,Injection,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20026,GERD,Gynecology,Valsartan,VALSA-RX20026,25 mg,Ointment,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20027,Neuropathy,Diabetology,Pregabalin,PREGA-RX20027,10 mg,Drops,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20028,Cancer,Gastroenterology,Doxycycline,DOXYC-RX20028,500 mg,Inhaler,Inhalation,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20029,Diabetes,Oncology,Progesterone,PROGE-RX20029,25 mg,Cream,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20030,Dermatitis,ENT,Metoprolol,METOP-RX20030,10 mg,Tablet,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20031,UTI,Gastroenterology,Risperidone,RISPE-RX20031,50 mg,Injection,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20032,Infertility,Dermatology,Terbinafine,TERBI-RX20032,40 mg,Inhaler,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20033,Anxiety,Pediatrics,Paroxetine,PAROX-RX20033,250 mg,Gel,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20034,Hypertension,Internal Medicine,Olmesartan,OLMES-RX20034,40 mg,Syrup,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20035,Acne,Pediatrics,Sildenafil,SILDE-RX20035,500 mg,Drops,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20036,Epilepsy,Pulmonology,Quetiapine,QUETI-RX20036,75 mg,Gel,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20037,Back Pain,Diabetology,Empagliflozin,EMPAG-RX20037,500 mg,Capsule,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20038,Fungal Infection,Oncology,Amoxicillin,AMOXI-RX20038,50 mg,Tablet,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20039,Pneumonia,Gastroenterology,Aripiprazole,ARIPI-RX20039,40 mg,Injection,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20040,Arthritis,Dermatology,Moxifloxacin Eye Drops,MOXIF-RX20040,25 mg,Ointment,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20041,Infertility,Oncology,Clindamycin,CLIND-RX20041,25 mg,Cream,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20042,Sinusitis,Ophthalmology,Lamotrigine,LAMOT-RX20042,40 mg,Drops,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20043,Acne,ENT,Moxifloxacin Eye Drops,MOXIF-RX20043,75 mg,Capsule,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20044,Angina,Orthopedics,Paroxetine,PAROX-RX20044,20 mg,Inhaler,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20045,Migraine,Urology,Fexofenadine,FEXOF-RX20045,1 g,Syrup,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20046,Neuropathy,Cardiology,Lithium,LITHI-RX20046,100 mg,Inhaler,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20047,Infertility,Orthopedics,Paracetamol,PARAC-RX20047,50 mg,Capsule,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20048,Infertility,Gynecology,Bisoprolol,BISOP-RX20048,500 mg,Cream,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20049,Cancer,Ophthalmology,Fluconazole,FLUCO-RX20049,250 mg,Gel,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20050,Asthma,Dermatology,Dydrogesterone,DYDRO-RX20050,250 mg,Cream,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20051,Allergy,Neurology,Vildagliptin,VILDA-RX20051,250 mg,Capsule,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20052,Angina,Dermatology,Progesterone,PROGE-RX20052,20 mg,Drops,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20053,Hypertension,Psychiatry,Moxifloxacin,MOXIF-RX20053,1 g,Gel,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20054,Epilepsy,Pediatrics,Ketoconazole,KETOC-RX20054,100 mg,Syrup,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20055,Infertility,Ophthalmology,Latanoprost,LATAN-RX20055,40 mg,Inhaler,Inhalation,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20056,Depression,Cardiology,Levetiracetam,LEVET-RX20056,25 mg,Inhaler,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20057,Angina,Ophthalmology,Cyclophosphamide,CYCLO-RX20057,2.5 mg,Tablet,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20058,Schizophrenia,Neurology,Ketoconazole,KETOC-RX20058,2.5 mg,Capsule,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20059,Dermatitis,Cardiology,Aceclofenac,ACECL-RX20059,50 mg,Gel,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20060,Allergy,Gynecology,Ranolazine,RANOL-RX20060,100 mg,Capsule,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20061,Acne,Dermatology,Moxifloxacin Eye Drops,MOXIF-RX20061,250 mg,Injection,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20062,Fungal Infection,Pulmonology,Bisoprolol,BISOP-RX20062,10 mg,Capsule,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20063,Migraine,Pediatrics,Levofloxacin,LEVOF-RX20063,1 g,Inhaler,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20064,GERD,Urology,Xylometazoline,XYLOM-RX20064,2.5 mg,Tablet,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20065,Arthritis,ENT,Venlafaxine,VENLA-RX20065,25 mg,Ointment,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20066,Schizophrenia,Gynecology,Montelukast,MONTE-RX20066,2.5 mg,Cream,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20067,Depression,Gastroenterology,Dapagliflozin,DAPAG-RX20067,75 mg,Injection,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20068,Stroke,Neurology,Rabeprazole,RABEP-RX20068,250 mg,Injection,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20069,Pneumonia,Pulmonology,Cyclophosphamide,CYCLO-RX20069,10 mg,Tablet,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20070,Infertility,Cardiology,Losartan,LOSAR-RX20070,100 mg,Ointment,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20071,Heart Failure,Pulmonology,Finasteride,FINAS-RX20071,100 mg,Drops,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20072,IBS,Pediatrics,Clomiphene,CLOMI-RX20072,500 mg,Capsule,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20073,UTI,Pulmonology,Escitalopram,ESCIT-RX20073,1 g,Capsule,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20074,Migraine,Internal Medicine,Salbutamol,SALBU-RX20074,10 mg,Ointment,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20075,Back Pain,ENT,Imatinib,IMATI-RX20075,500 mg,Drops,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20076,Migraine,Neurology,Dapagliflozin,DAPAG-RX20076,250 mg,Capsule,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20077,Schizophrenia,Urology,Tiotropium,TIOTR-RX20077,250 mg,Gel,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20078,Epilepsy,Orthopedics,Lamotrigine,LAMOT-RX20078,250 mg,Capsule,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20079,Infertility,Dermatology,Sucralfate,SUCRA-RX20079,50 mg,Syrup,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20080,Dermatitis,Pediatrics,Meropenem,MEROP-RX20080,2.5 mg,Tablet,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20081,Pneumonia,Oncology,Levofloxacin,LEVOF-RX20081,1 g,Capsule,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20082,Cancer,ENT,Cefixime,CEFIX-RX20082,40 mg,Capsule,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20083,Infertility,ENT,Paracetamol,PARAC-RX20083,2.5 mg,Gel,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20084,Gastritis,Pediatrics,Timolol,TIMOL-RX20084,50 mg,Gel,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20085,Cancer,Dermatology,Levofloxacin,LEVOF-RX20085,250 mg,Tablet,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20086,Schizophrenia,Dermatology,Cefixime,CEFIX-RX20086,25 mg,Gel,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20087,Epilepsy,Ophthalmology,Rabeprazole,RABEP-RX20087,75 mg,Inhaler,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20088,Hypertension,Urology,Pitavastatin,PITAV-RX20088,75 mg,Gel,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20089,Diabetes,Gynecology,Sucralfate,SUCRA-RX20089,500 mg,Syrup,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20090,Gastritis,Oncology,Tamoxifen,TAMOX-RX20090,10 mg,Ointment,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20091,Angina,Neurology,Clindamycin,CLIND-RX20091,10 mg,Cream,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20092,COPD,Pediatrics,Montelukast,MONTE-RX20092,100 mg,Tablet,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20093,Gastritis,Dermatology,Cyclophosphamide,CYCLO-RX20093,75 mg,Capsule,Inhalation,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20094,Fungal Infection,ENT,Levocetirizine,LEVOC-RX20094,10 mg,Tablet,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20095,Pneumonia,Urology,Xylometazoline,XYLOM-RX20095,250 mg,Drops,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20096,Neuropathy,Gastroenterology,Xylometazoline,XYLOM-RX20096,25 mg,Capsule,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20097,IBS,Pulmonology,Moxifloxacin Eye Drops,MOXIF-RX20097,100 mg,Injection,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20098,Angina,Pediatrics,Cyclophosphamide,CYCLO-RX20098,40 mg,Gel,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20099,IBS,Cardiology,Montelukast,MONTE-RX20099,5 mg,Tablet,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20100,Stroke,Urology,Imatinib,IMATI-RX20100,250 mg,Tablet,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20101,Neuropathy,Oncology,Nebivolol,NEBIV-RX20101,40 mg,Cream,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20102,Acne,Gynecology,Sitagliptin,SITAG-RX20102,2.5 mg,Drops,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20103,Schizophrenia,Diabetology,Levocetirizine,LEVOC-RX20103,250 mg,Injection,Inhalation,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20104,Epilepsy,Pulmonology,Finasteride,FINAS-RX20104,5 mg,Capsule,Inhalation,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20105,Hypertension,Cardiology,Vancomycin,VANCO-RX20105,25 mg,Tablet,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20106,Neuropathy,Neurology,Azithromycin,AZITH-RX20106,50 mg,Inhaler,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20107,Back Pain,Urology,Etoricoxib,ETORI-RX20107,20 mg,Tablet,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20108,Cancer,Psychiatry,Duloxetine,DULOX-RX20108,2.5 mg,Capsule,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20109,Schizophrenia,Cardiology,Empagliflozin,EMPAG-RX20109,20 mg,Tablet,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20110,Dermatitis,Internal Medicine,Azithromycin,AZITH-RX20110,1 g,Syrup,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20111,Fever,Pediatrics,Pantoprazole,PANTO-RX20111,1 g,Cream,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20112,Cancer,Pulmonology,Valsartan,VALSA-RX20112,1 g,Ointment,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20113,Fever,Gynecology,Aripiprazole,ARIPI-RX20113,250 mg,Gel,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20114,Epilepsy,Internal Medicine,Celecoxib,CELEC-RX20114,500 mg,Injection,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20115,Fever,Ophthalmology,Cefixime,CEFIX-RX20115,1 g,Syrup,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20116,Acne,Pulmonology,Finasteride,FINAS-RX20116,1 g,Gel,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20117,Osteoporosis,Pulmonology,Amlodipine,AMLOD-RX20117,10 mg,Cream,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20118,Gastritis,Pediatrics,Fluoxetine,FLUOX-RX20118,500 mg,Capsule,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20119,Sinusitis,Diabetology,Nebivolol,NEBIV-RX20119,2.5 mg,Drops,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20120,Acne,Pulmonology,Ibuprofen,IBUPR-RX20120,500 mg,Cream,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20121,Osteoporosis,Urology,Aceclofenac,ACECL-RX20121,25 mg,Inhaler,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20122,Hypertension,Oncology,Latanoprost,LATAN-RX20122,20 mg,Injection,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20123,Schizophrenia,Pediatrics,Topiramate,TOPIR-RX20123,500 mg,Gel,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20124,Epilepsy,ENT,Lansoprazole,LANSO-RX20124,25 mg,Drops,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20125,Glaucoma,Ophthalmology,Timolol,TIMOL-RX20125,50 mg,Syrup,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20126,Glaucoma,Cardiology,Ibuprofen,IBUPR-RX20126,75 mg,Ointment,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20127,Back Pain,Urology,Montelukast,MONTE-RX20127,500 mg,Inhaler,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20128,Glaucoma,Orthopedics,Insulin Aspart,INSUL-RX20128,250 mg,Ointment,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20129,Heart Failure,ENT,Quetiapine,QUETI-RX20129,2.5 mg,Injection,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20130,Infertility,Pediatrics,Carbamazepine,CARBA-RX20130,500 mg,Drops,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20131,Angina,Gynecology,Progesterone,PROGE-RX20131,5 mg,Injection,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20132,Migraine,Diabetology,Valsartan,VALSA-RX20132,100 mg,Capsule,Inhalation,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20133,Dermatitis,Urology,Linagliptin,LINAG-RX20133,2.5 mg,Cream,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20134,Back Pain,Psychiatry,Olmesartan,OLMES-RX20134,75 mg,Tablet,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20135,COPD,Orthopedics,Nebivolol,NEBIV-RX20135,1 g,Inhaler,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20136,Schizophrenia,Psychiatry,Pregabalin,PREGA-RX20136,2.5 mg,Inhaler,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20137,Osteoporosis,Gynecology,Ibuprofen,IBUPR-RX20137,100 mg,Cream,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20138,Fever,Urology,Pantoprazole,PANTO-RX20138,250 mg,Capsule,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20139,Allergy,Pulmonology,Tramadol,TRAMA-RX20139,25 mg,Inhaler,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20140,Schizophrenia,Orthopedics,Tamoxifen,TAMOX-RX20140,2.5 mg,Injection,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20141,Stroke,Pulmonology,Gabapentin,GABAP-RX20141,50 mg,Syrup,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20142,Allergy,Urology,Sildenafil,SILDE-RX20142,100 mg,Capsule,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20143,Fever,Neurology,Lithium,LITHI-RX20143,40 mg,Injection,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20144,Hypertension,Diabetology,Empagliflozin,EMPAG-RX20144,20 mg,Drops,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20145,Sinusitis,Neurology,Methotrexate,METHO-RX20145,500 mg,Injection,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
